,path,name,country,culture,dateFrom,dateTo,economic,group,language,polalign,source,url
77,/Event/369326488/369992423,369992423,United-States,C4,2016-01-29T21:10:00,2016-01-31T04:23:00,C2,369326488,unknown,unknown,gjsentinel.com,unknown
78,/Event/369326488/370004973,370004973,United-States,C4,2016-01-29T21:10:00,2016-01-31T07:13:00,C2,369326488,unknown,unknown,denverpost.com,unknown
79,/Event/369326488/370008072,370008072,United-States,C4,2016-01-29T21:10:00,2016-01-31T07:25:00,C2,369326488,English,unknown,dailycamera.com,unknown
80,/Event/369326488/369955045,369955045,,,2016-01-29T21:10:00,2016-01-31T09:23:00,,369326488,,,inquisitr.com,
81,/Event/369326488/369955045/371973487,371973487,United-States,C4,2016-01-31T09:23:00,2016-02-02T19:24:00,C2,369326488,unknown,unknown,cnbc.com,unknown
82,/Event/369326488/370059327,370059327,United-States,C4,2016-01-29T21:10:00,2016-01-31T10:08:00,C2,369326488,unknown,unknown,lasvegassun.com,unknown
83,/Event/369326488/370059327/370532516,370532516,Australia,C4,2016-01-31T10:08:00,2016-02-01T05:09:00,C2,369326488,unknown,unknown,canberratimes.com.au,unknown
84,/Event/369326488/370070914,370070914,,,2016-01-29T21:10:00,2016-01-31T10:34:00,,369326488,,,thepewterplank.com,
85,/Event/369326488/371155560,371155560,,,2016-01-29T21:10:00,2016-01-31T11:00:00,,369326488,,,denverbroncos.com,
86,/Event/369326488/371155560/370175198,370175198,United-States,C4,2016-01-31T11:00:00,2016-01-31T22:55:00,C2,369326488,unknown,unknown,bostonherald.com,unknown
87,/Event/369326488/371155560/371490447,371490447,,,2016-01-31T11:00:00,2016-02-02T07:58:00,,369326488,,,rte.ie,
88,/Event/369326488/371155560/371488097,371488097,United-Kingdom,C4,2016-01-31T11:00:00,2016-02-02T08:10:00,C2,369326488,unknown,unknown,dailymail.co.uk,unknown
89,/Event/369326488/371155560/371922591,371922591,United-States,C4,2016-01-31T11:00:00,2016-02-02T18:11:00,C2,369326488,unknown,unknown,dailyherald.com,unknown
90,/Event/369326488/370165603,370165603,,,2016-01-29T21:10:00,2016-01-31T14:04:00,,369326488,,,scout.com,
91,/Event/369326488/370233826,370233826,,,2016-01-29T21:10:00,2016-01-31T15:00:00,,369326488,,,bleacherreport.com,
92,/Event/369326488/370233826/370462832,370462832,United-States,C4,2016-01-31T15:00:00,2016-02-01T01:43:00,C2,369326488,unknown,unknown,indystar.com,unknown
93,/Event/369326488/370368530,370368530,,,2016-01-29T21:10:00,2016-01-31T21:34:00,,369326488,,,scout.com,
94,/Event/369326488/370567002,370567002,,,2016-01-29T21:10:00,2016-02-01T04:49:00,,369326488,,,bleacherreport.com,
95,/Event/369326488/370720620,370720620,United-States,C4,2016-01-29T21:10:00,2016-02-01T09:00:00,C2,369326488,unknown,unknown,bostonherald.com,unknown
96,/Event/369326488/370815448,370815448,,,2016-01-29T21:10:00,2016-02-01T11:50:00,,369326488,,,bleacherreport.com,
97,/Event/369326488/370815448/370927008,370927008,United-States,C4,2016-02-01T11:50:00,2016-02-01T15:31:00,C2,369326488,unknown,unknown,espn.go.com,unknown
98,/Event/369326488/370815448/371773922,371773922,United-States,C4,2016-02-01T11:50:00,2016-02-02T13:20:00,C2,369326488,unknown,unknown,mashable.com,unknown
99,/Event/369326488/370815448/372098830,372098830,United-States,C4,2016-02-01T11:50:00,2016-02-02T21:03:00,C2,369326488,unknown,unknown,cbssports.com,unknown
100,/Event/369326488/370783980,370783980,,,2016-01-29T21:10:00,2016-02-01T12:01:00,,369326488,,,bleacherreport.com,
101,/Event/369326488/370812404,370812404,,,2016-01-29T21:10:00,2016-02-01T13:01:00,,369326488,,,si.com,
102,/Event/369326488/370812404/371049307,371049307,United-States,C4,2016-02-01T13:01:00,2016-02-01T18:19:00,C2,369326488,unknown,unknown,journalstandard.com,unknown
103,/Event/369326488/370812404/371079428,371079428,,,2016-02-01T13:01:00,2016-02-01T18:58:00,,369326488,,,itiswhatitis.weei.com,
104,/Event/369326488/370812404/371149233,371149233,United-States,C4,2016-02-01T13:01:00,2016-02-01T20:47:00,C2,369326488,unknown,unknown,newpittsburghcourieronline.com,unknown
105,/Event/369326488/370812404/371348998,371348998,United-States,C4,2016-02-01T13:01:00,2016-02-02T01:55:00,C2,369326488,unknown,unknown,sportingnews.com,unknown
106,/Event/369326488/370812404/371436804,371436804,United-States,C4,2016-02-01T13:01:00,2016-02-02T06:37:00,C2,369326488,unknown,unknown,jsonline.com,unknown
107,/Event/369326488/370812404/371441345,371441345,,,2016-02-01T13:01:00,2016-02-02T06:46:00,,369326488,,,nbcsports.com,
108,/Event/369326488/370812404/371457039,371457039,United-States,C4,2016-02-01T13:01:00,2016-02-02T07:15:00,C2,369326488,unknown,unknown,denverpost.com,unknown
109,/Event/369326488/370812404/371457039/371762849,371762849,United-Kingdom,C4,2016-02-02T07:15:00,2016-02-02T14:51:00,C2,369326488,unknown,unknown,dailymail.co.uk,unknown
110,/Event/369326488/370812404/371789178,371789178,United-States,C4,2016-02-01T13:01:00,2016-02-02T13:17:00,C2,369326488,unknown,unknown,espn.go.com,unknown
111,/Event/369326488/370812404/371796959,371796959,,,2016-02-01T13:01:00,2016-02-02T15:31:00,,369326488,,,milehighsports.com,
112,/Event/369326488/370812404/371812621,371812621,United-States,C4,2016-02-01T13:01:00,2016-02-02T15:54:00,C2,369326488,English,unknown,starnewsonline.com,unknown
113,/Event/369326488/370812404/372002160,372002160,United-Kingdom,C4,2016-02-01T13:01:00,2016-02-02T20:09:00,C2,369326488,unknown,unknown,dailystar.co.uk,unknown
114,/Event/369326488/370836072,370836072,,,2016-01-29T21:10:00,2016-02-01T13:04:00,,369326488,,,bleacherreport.com,
115,/Event/369326488/370914670,370914670,,,2016-01-29T21:10:00,2016-02-01T13:11:00,,369326488,,,bleacherreport.com,
116,/Event/369326488/370914668,370914668,,,2016-01-29T21:10:00,2016-02-01T13:19:00,,369326488,,,bleacherreport.com,
117,/Event/369326488/370965858,370965858,United-States,C4,2016-01-29T21:10:00,2016-02-01T14:18:00,C2,369326488,unknown,unknown,cbssports.com,unknown
118,/Event/369326488/370874978,370874978,,,2016-01-29T21:10:00,2016-02-01T14:22:00,,369326488,,,milehighsports.com,
119,/Event/369326488/370893621,370893621,United-States,C4,2016-01-29T21:10:00,2016-02-01T14:47:00,C2,369326488,unknown,unknown,washingtonpost.com,unknown
120,/Event/369326488/370965861,370965861,,,2016-01-29T21:10:00,2016-02-01T14:49:00,,369326488,,,bleacherreport.com,
121,/Event/369326488/370980241,370980241,,,2016-01-29T21:10:00,2016-02-01T16:43:00,,369326488,,,stupiddope.com,
122,/Event/369326488/371064931,371064931,,,2016-01-29T21:10:00,2016-02-01T16:52:00,,369326488,,,nfl.com,
123,/Event/369326488/371112010,371112010,,,2016-01-29T21:10:00,2016-02-01T17:30:00,,369326488,,,bleacherreport.com,
124,/Event/369326488/371155361,371155361,,,2016-01-29T21:10:00,2016-02-01T18:37:00,,369326488,,,bleacherreport.com,
125,/Event/369326488/371085522,371085522,,,2016-01-29T21:10:00,2016-02-01T19:07:00,,369326488,,,milehighsports.com,
126,/Event/369326488/370735274,370735274,United-States,C4,2016-01-29T21:10:00,2016-02-01T19:21:00,C2,369326488,unknown,unknown,bostonherald.com,unknown
127,/Event/369326488/371125293,371125293,,,2016-01-29T21:10:00,2016-02-01T20:07:00,,369326488,,,footballoutsiders.com,
128,/Event/369326488/370084152,370084152,,,2016-01-29T21:10:00,2016-02-01T20:30:00,,369326488,,,theminaretonline.com,
129,/Event/369326488/371217377,371217377,,,2016-01-29T21:10:00,2016-02-01T22:18:00,,369326488,,,tsn.ca,
130,/Event/369326488/371011239,371011239,United-States,C4,2016-01-29T21:10:00,2016-02-02T00:41:00,C2,369326488,unknown,unknown,bostonherald.com,unknown
131,/Event/369326488/371337682,371337682,United-States,C4,2016-01-29T21:10:00,2016-02-02T02:58:00,C2,369326488,unknown,unknown,ocregister.com,unknown
132,/Event/369326488/371349417,371349417,,,2016-01-29T21:10:00,2016-02-02T03:29:00,,369326488,,,ramaponews.com,
133,/Event/369326488/371350611,371350611,,,2016-01-29T21:10:00,2016-02-02T03:32:00,,369326488,,,scout.com,
134,/Event/369326488/371372244,371372244,United-States,C4,2016-01-29T21:10:00,2016-02-02T04:25:00,C2,369326488,unknown,unknown,nypost.com,unknown
135,/Event/369326488/371385298,371385298,United-States,C4,2016-01-29T21:10:00,2016-02-02T04:46:00,C2,369326488,unknown,unknown,wdsu.com,unknown
136,/Event/369326488/371408204,371408204,United-States,C4,2016-01-29T21:10:00,2016-02-02T05:31:00,C2,369326488,unknown,unknown,wdsu.com,unknown
137,/Event/369326488/371434010,371434010,,,2016-01-29T21:10:00,2016-02-02T06:01:00,,369326488,,,nola.com,
138,/Event/369326488/371594541,371594541,,,2016-01-29T21:10:00,2016-02-02T07:48:00,,369326488,,,si.com,
139,/Event/369326488/371634223,371634223,United-Kingdom,C4,2016-01-29T21:10:00,2016-02-02T11:52:00,C2,369326488,unknown,unknown,dailymail.co.uk,unknown
140,/Event/369326488/371635463,371635463,United-States,C4,2016-01-29T21:10:00,2016-02-02T11:54:00,C2,369326488,unknown,unknown,christianpost.com,unknown
141,/Event/369326488/371738319,371738319,,,2016-01-29T21:10:00,2016-02-02T12:36:00,,369326488,,,nfl.com,
142,/Event/369326488/371720881,371720881,United-States,C4,2016-01-29T21:10:00,2016-02-02T13:02:00,C2,369326488,unknown,unknown,espn.go.com,unknown
143,/Event/369326488/371862367,371862367,,,2016-01-29T21:10:00,2016-02-02T16:59:00,,369326488,,,foxsports.com,
144,/Event/369326488/371921553,371921553,,,2016-01-29T21:10:00,2016-02-02T18:09:00,,369326488,,,cnet.com,
145,/Event/369326488/371964595,371964595,,,2016-01-29T21:10:00,2016-02-02T19:10:00,,369326488,,,cnet.com,
146,/Event/369326488/372024638,372024638,United-States,C4,2016-01-29T21:10:00,2016-02-02T19:29:00,C2,369326488,unknown,unknown,nesn.com,unknown
147,/Event/369326488/371992351,371992351,,,2016-01-29T21:10:00,2016-02-02T19:52:00,,369326488,,,cnet.com,
148,/Event/369326488/371993214,371993214,Australia,C4,2016-01-29T21:10:00,2016-02-02T19:54:00,C2,369326488,unknown,unknown,theroar.com.au,unknown
149,/Event/369326488/372011718,372011718,Canada,C4,2016-01-29T21:10:00,2016-02-02T20:24:00,C2,369326488,unknown,unknown,sportsnet.ca,unknown
150,/Event/369326488/372052016,372052016,,,2016-01-29T21:10:00,2016-02-02T20:24:00,,369326488,,,catscratchreader.com,
151,/Event/369326488/372024636,372024636,United-States,C4,2016-01-29T21:10:00,2016-02-02T20:41:00,C2,369326488,unknown,unknown,nesn.com,unknown
152,/Event/369843666,369843666,United-States,C4,2016-01-30T22:41:00,2016-01-30T22:41:00,C2,0,unknown,unknown,espn.go.com,unknown
153,/Event/369843666/369844391,369844391,United-States,C4,2016-01-30T22:41:00,2016-01-30T22:54:00,C2,369843666,unknown,unknown,espn.go.com,unknown
154,/Event/369843666/369922856,369922856,United-States,C4,2016-01-30T22:41:00,2016-01-31T02:11:00,C2,369843666,unknown,unknown,usatoday.com,unknown
155,/Event/369843666/370004971,370004971,United-States,C4,2016-01-30T22:41:00,2016-01-31T07:13:00,C2,369843666,unknown,unknown,denverpost.com,unknown
156,/Event/369856038,369856038,United-States,C4,2016-01-30T22:56:00,2016-01-30T22:56:00,C2,0,unknown,unknown,usatoday.com,unknown
157,/Event/369856038/369859124,369859124,United-States,C4,2016-01-30T22:56:00,2016-01-30T23:00:00,C2,369856038,unknown,unknown,usatoday.com,unknown
158,/Event/369856038/369949870,369949870,United-States,C4,2016-01-30T22:56:00,2016-01-31T02:01:00,C2,369856038,unknown,unknown,usatoday.com,unknown
159,/Event/369856038/369954164,369954164,United-States,C4,2016-01-30T22:56:00,2016-01-31T04:17:00,C2,369856038,unknown,unknown,usatoday.com,unknown
160,/Event/369856038/372591907,372591907,United-States,C4,2016-01-30T22:56:00,2016-02-01T11:00:00,C2,369856038,unknown,unknown,usatoday.com,unknown
161,/Event/369856038/371190782,371190782,United-States,C4,2016-01-30T22:56:00,2016-02-01T20:45:00,C2,369856038,unknown,unknown,usatoday.com,unknown
162,/Event/369856038/371348996,371348996,United-States,C4,2016-01-30T22:56:00,2016-02-02T02:03:00,C2,369856038,unknown,unknown,usatoday.com,unknown
163,/Event/369856038/371424921,371424921,United-States,C4,2016-01-30T22:56:00,2016-02-02T06:15:00,C2,369856038,unknown,unknown,usatoday.com,unknown
164,/Event/369856038/371498238,371498238,United-States,C4,2016-01-30T22:56:00,2016-02-02T08:27:00,C2,369856038,unknown,unknown,usatoday.com,unknown
165,/Event/369856038/372070459,372070459,United-States,C4,2016-01-30T22:56:00,2016-02-02T20:04:00,C2,369856038,unknown,unknown,usatoday.com,unknown
166,/Event/369856038/372203657,372203657,United-States,C4,2016-01-30T22:56:00,2016-02-02T21:12:00,C2,369856038,unknown,unknown,usatoday.com,unknown
167,/Event/369856038/372203656,372203656,United-States,C4,2016-01-30T22:56:00,2016-02-03T00:12:00,C2,369856038,unknown,unknown,usatoday.com,unknown
168,/Event/369856038/372807726,372807726,United-States,C4,2016-01-30T22:56:00,2016-02-03T18:29:00,C2,369856038,unknown,unknown,usatoday.com,unknown
169,/Event/369902001,369902001,United-States,C4,2016-01-31T00:45:00,2016-01-31T00:45:00,C2,0,English,unknown,reporterherald.com,unknown
170,/Event/369902001/370004969,370004969,United-States,C4,2016-01-31T00:45:00,2016-01-31T07:13:00,C2,369902001,unknown,unknown,denverpost.com,unknown
171,/Event/369902001/370517022,370517022,United-States,C4,2016-01-31T00:45:00,2016-02-01T01:24:00,C2,369902001,unknown,unknown,denverpost.com,unknown
172,/Event/370211708,370211708,United-States,C4,2016-01-31T15:36:00,2016-01-31T15:36:00,C2,0,unknown,unknown,businessinsider.com,unknown
173,/Event/370211708/370224420,370224420,United-States,C4,2016-01-31T15:36:00,2016-01-31T16:02:00,C2,370211708,unknown,unknown,dailycaller.com,unknown
174,/Event/370211708/370271932,370271932,United-States,C4,2016-01-31T15:36:00,2016-01-31T17:47:00,C2,370211708,unknown,unknown,washingtonexaminer.com,unknown
175,/Event/370211708/370323632,370323632,United-States,C4,2016-01-31T15:36:00,2016-01-31T19:43:00,C2,370211708,unknown,unknown,thehill.com,unknown
176,/Event/370344217,370344217,United-States,C4,2016-01-31T20:32:00,2016-01-31T20:32:00,C2,0,unknown,unknown,denverpost.com,unknown
177,/Event/370344217/370500869,370500869,United-States,C4,2016-01-31T20:32:00,2016-02-01T03:39:00,C2,370344217,unknown,unknown,denverpost.com,unknown
178,/Event/370344217/370504231,370504231,United-States,C4,2016-01-31T20:32:00,2016-02-01T03:50:00,C2,370344217,English,unknown,reporterherald.com,unknown
179,/Event/370600391,370600391,United-States,C4,2016-02-01T03:30:00,2016-02-01T03:30:00,C2,0,unknown,unknown,denverpost.com,unknown
180,/Event/370600391/370504230,370504230,United-States,C4,2016-02-01T03:30:00,2016-02-01T03:50:00,C2,370600391,English,unknown,reporterherald.com,unknown
181,/Event/370536215,370536215,United-States,C4,2016-02-01T05:17:00,2016-02-01T05:17:00,C2,0,English,unknown,dailycamera.com,unknown
182,/Event/370536215/370596870,370596870,United-States,C4,2016-02-01T05:17:00,2016-02-01T07:01:00,C2,370536215,unknown,unknown,denverpost.com,unknown
