,path,name,con_name,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance,continent,religions,linguisticblocs,politicalregionalblocs,economicblocs,militarydefenseblocs
76,/Event/7894910222/7898210087,7898210087,Pakistan,,,2023-12-19T19:33:15,2023-12-21T16:22:30,,7894910222,eng,,urdupoint.com,,129.0,140.0,102.0,118.0,124.0,14.0,0.0,96.0,119.0,50.0,124.0,50.0,166.0,120.0,55.0,149.0,123.0,70.0,,,,,,
77,/Event/7894910222/7898223441,7898223441,Pakistan,IN,C18,2023-12-19T19:33:15,2023-12-21T16:31:28,C17,7894910222,eng,,aninews.in,,129.0,140.0,102.0,118.0,124.0,14.0,0.0,96.0,119.0,50.0,124.0,50.0,166.0,120.0,55.0,149.0,123.0,70.0,AS,Hindu,,,,
78,/Event/7894910222/7898234085,7898234085,Pakistan,,,2023-12-19T19:33:15,2023-12-21T16:39:08,,7894910222,eng,,devdiscourse.com,,129.0,140.0,102.0,118.0,124.0,14.0,0.0,96.0,119.0,50.0,124.0,50.0,166.0,120.0,55.0,149.0,123.0,70.0,,,,,,
79,/Event/7894910222/7898466665,7898466665,Pakistan,PK,C20,2023-12-19T19:33:15,2023-12-21T19:45:21,C5,7894910222,eng,,arynews.tv,,129.0,140.0,102.0,118.0,124.0,14.0,0.0,96.0,119.0,50.0,124.0,50.0,166.0,120.0,55.0,149.0,123.0,70.0,AS,Muslim,,,,
80,/Event/7894910222/7898620427,7898620427,Pakistan,IN,C18,2023-12-19T19:33:15,2023-12-21T22:15:26,C17,7894910222,eng,,aninews.in,,129.0,140.0,102.0,118.0,124.0,14.0,0.0,96.0,119.0,50.0,124.0,50.0,166.0,120.0,55.0,149.0,123.0,70.0,AS,Hindu,,,,
81,/Event/7894910222/7898625105,7898625105,Pakistan,,,2023-12-19T19:33:15,2023-12-21T22:22:14,,7894910222,eng,,theprint.in,,129.0,140.0,102.0,118.0,124.0,14.0,0.0,96.0,119.0,50.0,124.0,50.0,166.0,120.0,55.0,149.0,123.0,70.0,,,,,,
82,/Event/7894910222/7898735410,7898735410,Pakistan,,,2023-12-19T19:33:15,2023-12-22T00:33:52,,7894910222,eng,,latestly.com,,129.0,140.0,102.0,118.0,124.0,14.0,0.0,96.0,119.0,50.0,124.0,50.0,166.0,120.0,55.0,149.0,123.0,70.0,,,,,,
83,/Event/7894910222/7898762668,7898762668,Pakistan,PK,C20,2023-12-19T19:33:15,2023-12-22T01:07:33,C5,7894910222,eng,,nation.com.pk,,129.0,140.0,102.0,118.0,124.0,14.0,0.0,96.0,119.0,50.0,124.0,50.0,166.0,120.0,55.0,149.0,123.0,70.0,AS,Muslim,,,,
84,/Event/7894910222/2023-12-200332320,2023-12-200332320,Pakistan,PK,C20,2023-12-19T19:33:15,2023-12-22T02:20:33,C5,7894910222,eng,Center-right,thenews.com.pk,ChatGPT,129.0,140.0,102.0,118.0,124.0,14.0,0.0,96.0,119.0,50.0,124.0,50.0,166.0,120.0,55.0,149.0,123.0,70.0,AS,Muslim,,,,
85,/Event/7894910222/7898857003,7898857003,Pakistan,PK,C20,2023-12-19T19:33:15,2023-12-22T03:11:18,C5,7894910222,eng,,pakobserver.net,,129.0,140.0,102.0,118.0,124.0,14.0,0.0,96.0,119.0,50.0,124.0,50.0,166.0,120.0,55.0,149.0,123.0,70.0,AS,Muslim,,,,
86,/Event/7894910222/7898858226,7898858226,Pakistan,PK,C20,2023-12-19T19:33:15,2023-12-22T03:11:58,C5,7894910222,eng,Center-right,thenews.com.pk,ChatGPT,129.0,140.0,102.0,118.0,124.0,14.0,0.0,96.0,119.0,50.0,124.0,50.0,166.0,120.0,55.0,149.0,123.0,70.0,AS,Muslim,,,,
87,/Event/7894910222/7898879272,7898879272,Pakistan,PK,C20,2023-12-19T19:33:15,2023-12-22T03:38:49,C5,7894910222,eng,,pakobserver.net,,129.0,140.0,102.0,118.0,124.0,14.0,0.0,96.0,119.0,50.0,124.0,50.0,166.0,120.0,55.0,149.0,123.0,70.0,AS,Muslim,,,,
88,/Event/7894910222/7898900028,7898900028,Pakistan,,,2023-12-19T19:33:15,2023-12-22T04:04:38,,7894910222,eng,,radio.gov.pk,,129.0,140.0,102.0,118.0,124.0,14.0,0.0,96.0,119.0,50.0,124.0,50.0,166.0,120.0,55.0,149.0,123.0,70.0,,,,,,
89,/Event/7894910222/7898928622,7898928622,Pakistan,PK,C20,2023-12-19T19:33:15,2023-12-22T04:34:58,C5,7894910222,eng,,nation.com.pk,,129.0,140.0,102.0,118.0,124.0,14.0,0.0,96.0,119.0,50.0,124.0,50.0,166.0,120.0,55.0,149.0,123.0,70.0,AS,Muslim,,,,
