,path,name,con_name,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,continent,economicblocs,religions,linguisticblocs,militarydefenseblocs,politicalregionalblocs,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance
85,/Event/7443550343/7444489306,7444489306,,IN,C18,2023-03-12T21:44:00,2023-03-13T11:43:00,C17,7443550343,eng,,financialexpress.com,,AS,,Hindu,,,,,,,,,,,,,,,,,,,,,
86,/Event/7443550343/7444532587,7444532587,,,,2023-03-12T21:44:00,2023-03-13T12:10:00,,7443550343,eng,,laprensalatina.com,,,,,,,,,,,,,,,,,,,,,,,,,
87,/Event/7443550343/7444552174,7444552174,,,,2023-03-12T21:44:00,2023-03-13T12:22:00,,7443550343,eng,,businessworld.in,,,,,,,,,,,,,,,,,,,,,,,,,
88,/Event/7443550343/7444652270,7444652270,,USA,C4,2023-03-12T21:44:00,2023-03-13T13:22:00,C2,7443550343,eng,,sandiegouniontribune.com,,,NAFTA,Christian,Eng,NATO,,,,,,,,,,,,,,,,,,,
89,/Event/7443550343/7444652270/7445189017,7445189017,United-States,IN,C18,2023-03-13T13:22:00,2023-03-13T19:38:00,C17,7443550343,eng,,hindustantimes.com,,AS,,Hindu,,,,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0
90,/Event/7443550343/7444652270/7445189017/7446159496,7446159496,India,,,2023-03-13T19:38:00,2023-03-14T10:28:00,,7443550343,eng,,msn.com,,,,,,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0
91,/Event/7443550343/7444658955,7444658955,,,,2023-03-12T21:44:00,2023-03-13T13:26:00,,7443550343,eng,,financialpost.com,,,,,,,,,,,,,,,,,,,,,,,,,
92,/Event/7443550343/7444658955/7446017683,7446017683,,CN,C18,2023-03-13T13:26:00,2023-03-14T09:01:00,C9,7443550343,eng,Independent,scmp.com,ChatGPT,AS,,Irreligion,,,,,,,,,,,,,,,,,,,,,
93,/Event/7443550343/7444658955/7446017683/7447007260,7447007260,China,USA,C4,2023-03-14T09:01:00,2023-03-14T19:33:00,C2,7443550343,eng,Center-left,foxnews.com,ChatGPT,,NAFTA,Christian,Eng,NATO,,24.0,56.0,38.0,74.0,5.0,20.0,24.0,64.0,46.0,87.0,43.0,66.0,139.0,162.0,80.0,86.0,31.0,30.0
94,/Event/7443550343/7444661069,7444661069,,USA,C4,2023-03-12T21:44:00,2023-03-13T13:27:00,C2,7443550343,eng,,sfgate.com,,,NAFTA,Christian,Eng,NATO,,,,,,,,,,,,,,,,,,,
95,/Event/7443550343/7444673244,7444673244,,,,2023-03-12T21:44:00,2023-03-13T13:35:00,,7443550343,eng,,indianf.com,,,,,,,,,,,,,,,,,,,,,,,,,
96,/Event/7443550343/7444689775,7444689775,,IN,C18,2023-03-12T21:44:00,2023-03-13T13:46:00,C17,7443550343,eng,Pro-business,thehindubusinessline.com,https:en.wikipedia.orgwikiBusiness_Line,AS,,Hindu,,,,,,,,,,,,,,,,,,,,,
97,/Event/7443550343/7444716665,7444716665,,,,2023-03-12T21:44:00,2023-03-13T14:02:00,,7443550343,eng,,english.news.cn,,,,,,,,,,,,,,,,,,,,,,,,,
98,/Event/7443550343/7444716665/7444718808,7444718808,,,,2023-03-13T14:02:00,2023-03-13T14:04:00,,7443550343,eng,,nampa.org,,,,,,,,,,,,,,,,,,,,,,,,,
99,/Event/7443550343/7444735971,7444735971,,,,2023-03-12T21:44:00,2023-03-13T14:13:00,,7443550343,eng,,dohanews.co,,,,,,,,,,,,,,,,,,,,,,,,,
100,/Event/7443550343/7444736914,7444736914,,RU,C16,2023-03-12T21:44:00,2023-03-13T14:14:00,C12,7443550343,eng,State-controlled,rt.com,ChatGPT,AS,,Christian,,CSTO,CIS,,,,,,,,,,,,,,,,,,
101,/Event/7443550343/7444764938,7444764938,,,,2023-03-12T21:44:00,2023-03-13T14:32:00,,7443550343,eng,,northernirelandnews.com,,,,,,,,,,,,,,,,,,,,,,,,,
102,/Event/7443550343/7444772886,7444772886,,IN,C18,2023-03-12T21:44:00,2023-03-13T14:37:00,C17,7443550343,eng,Center-left,indianexpress.com,ChatGPT,AS,,Hindu,,,,,,,,,,,,,,,,,,,,,
103,/Event/7443550343/7444779832,7444779832,,,,2023-03-12T21:44:00,2023-03-13T14:42:00,,7443550343,eng,,devdiscourse.com,,,,,,,,,,,,,,,,,,,,,,,,,
104,/Event/7443550343/7444790760,7444790760,,,,2023-03-12T21:44:00,2023-03-13T14:50:00,,7443550343,eng,,latestly.com,,,,,,,,,,,,,,,,,,,,,,,,,
105,/Event/7443550343/7444792858,7444792858,,IN,C18,2023-03-12T21:44:00,2023-03-13T14:50:00,C17,7443550343,eng,,republicworld.com,,AS,,Hindu,,,,,,,,,,,,,,,,,,,,,
106,/Event/7443550343/7444835974,7444835974,,IN,C18,2023-03-12T21:44:00,2023-03-13T15:17:00,C17,7443550343,eng,,economictimes.indiatimes.com,,AS,,Hindu,,,,,,,,,,,,,,,,,,,,,
107,/Event/7443550343/7444874097,7444874097,,IN,C18,2023-03-12T21:44:00,2023-03-13T15:41:00,C17,7443550343,eng,,deccanherald.com,,AS,,Hindu,,,,,,,,,,,,,,,,,,,,,
108,/Event/7443550343/7444903614,7444903614,,,,2023-03-12T21:44:00,2023-03-13T16:01:00,,7443550343,eng,,oilprice.com,,,,,,,,,,,,,,,,,,,,,,,,,
109,/Event/7443550343/7444918557,7444918557,,IN,C18,2023-03-12T21:44:00,2023-03-13T16:11:00,C17,7443550343,eng,,ndtv.com,,AS,,Hindu,,,,,,,,,,,,,,,,,,,,,
110,/Event/7443550343/7444954815,7444954815,,,,2023-03-12T21:44:00,2023-03-13T16:36:00,,7443550343,eng,,northernirelandnews.com,,,,,,,,,,,,,,,,,,,,,,,,,
111,/Event/7443550343/7444990735,7444990735,,IN,C18,2023-03-12T21:44:00,2023-03-13T17:01:00,C17,7443550343,eng,fiscally-conservative-socially-liberal,livemint.com,https:en.wikipedia.orgwikiMint_(newspaper),AS,,Hindu,,,,,,,,,,,,,,,,,,,,,
112,/Event/7443550343/7444997939,7444997939,,,,2023-03-12T21:44:00,2023-03-13T17:05:00,,7443550343,eng,,indiandefensenews.in,,,,,,,,,,,,,,,,,,,,,,,,,
113,/Event/7443550343/7445030121,7445030121,,,,2023-03-12T21:44:00,2023-03-13T17:28:00,,7443550343,eng,,bqprime.com,,,,,,,,,,,,,,,,,,,,,,,,,
114,/Event/7443550343/7445030121/7446960520,7446960520,,,,2023-03-13T17:28:00,2023-03-14T18:54:00,,7443550343,eng,,havanatimes.org,,,,,,,,,,,,,,,,,,,,,,,,,
115,/Event/7443550343/7445163871,7445163871,,IN,C18,2023-03-12T21:44:00,2023-03-13T19:15:00,C17,7443550343,eng,Independent,greaterkashmir.com,https:en.wikipedia.orgwikiGreater_Kashmir,AS,,Hindu,,,,,,,,,,,,,,,,,,,,,
116,/Event/7443550343/7445347000,7445347000,,,,2023-03-12T21:44:00,2023-03-13T22:05:00,,7443550343,eng,,canindia.com,,,,,,,,,,,,,,,,,,,,,,,,,
117,/Event/7443550343/7445356022,7445356022,,,,2023-03-12T21:44:00,2023-03-13T22:13:00,,7443550343,eng,,socialnews.xyz,,,,,,,,,,,,,,,,,,,,,,,,,
118,/Event/7443550343/7445442551,7445442551,,,,2023-03-12T21:44:00,2023-03-13T23:57:00,,7443550343,eng,,kenyan-post.com,,,,,,,,,,,,,,,,,,,,,,,,,
119,/Event/7443550343/7445450665,7445450665,,,,2023-03-12T21:44:00,2023-03-14T00:06:00,,7443550343,eng,,eurasiareview.com,,,,,,,,,,,,,,,,,,,,,,,,,
120,/Event/7443550343/7445522690,7445522690,,CN,C18,2023-03-12T21:44:00,2023-03-14T01:32:00,C9,7443550343,eng,Chinese-Communist-Party,chinadaily.com.cn,ChatGPT,AS,,Irreligion,,,,,,,,,,,,,,,,,,,,,
121,/Event/7443550343/7445568273,7445568273,,,,2023-03-12T21:44:00,2023-03-14T02:30:00,,7443550343,eng,,chinadailyasia.com,,,,,,,,,,,,,,,,,,,,,,,,,
122,/Event/7443550343/7445578064,7445578064,,,,2023-03-12T21:44:00,2023-03-14T02:41:00,,7443550343,eng,,theprint.in,,,,,,,,,,,,,,,,,,,,,,,,,
123,/Event/7443550343/7445698203,7445698203,,IN,C18,2023-03-12T21:44:00,2023-03-14T04:58:00,C17,7443550343,eng,,ndtv.com,,AS,,Hindu,,,,,,,,,,,,,,,,,,,,,
124,/Event/7443550343/7445738282,7445738282,,,,2023-03-12T21:44:00,2023-03-14T05:36:00,,7443550343,eng,,mynews.in,,,,,,,,,,,,,,,,,,,,,,,,,
125,/Event/7443550343/7445785766,7445785766,,,,2023-03-12T21:44:00,2023-03-14T06:17:00,,7443550343,eng,,fortuneindia.com,,,,,,,,,,,,,,,,,,,,,,,,,
126,/Event/7443550343/7445911346,7445911346,,AE,C19,2023-03-12T21:44:00,2023-03-14T07:50:00,C9,7443550343,eng,Pro-government,thenationalnews.com,https:en.wikipedia.orgwikiThe_National_(Abu_Dhabi),AS,?,Muslim,Ara,?,AL,,,,,,,,,,,,,,,,,,
127,/Event/7443550343/7446013508,7446013508,,,,2023-03-12T21:44:00,2023-03-14T08:59:00,,7443550343,eng,,asianlite.com,,,,,,,,,,,,,,,,,,,,,,,,,
128,/Event/7443550343/7446031033,7446031033,,IN,C18,2023-03-12T21:44:00,2023-03-14T09:10:00,C17,7443550343,eng,Center-left,scroll.in,ChatGPT,AS,,Hindu,,,,,,,,,,,,,,,,,,,,,
