,path,name,con_name,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,continent,linguisticblocs,militarydefenseblocs,religions,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance,economicblocs,politicalregionalblocs
73,/Event/7442714159/7442744643/7445773412,7445773412,,,,2023-03-12T08:32:00,2023-03-14T06:08:00,,7442714159,eng,,bdnews24.com,,,,,,,,,,,,,,,,,,,,,,,,,
74,/Event/7442714159/7442744643/7445784683,7445784683,,,,2023-03-12T08:32:00,2023-03-14T06:17:00,,7442714159,eng,,sabcnews.com,,,,,,,,,,,,,,,,,,,,,,,,,
75,/Event/7442714159/7442744643/7446058012,7446058012,,USA,C4,2023-03-12T08:32:00,2023-03-14T09:25:00,C2,7442714159,eng,Center-left,nbcnews.com,ChatGPT,,Eng,NATO,Christian,,,,,,,,,,,,,,,,,,,NAFTA,
76,/Event/7442714159/7442744643/7446144311,7446144311,,,,2023-03-12T08:32:00,2023-03-14T10:18:00,,7442714159,eng,,rocketnews.com,,,,,,,,,,,,,,,,,,,,,,,,,
77,/Event/7442714159/7442744643/7446213107,7446213107,,,,2023-03-12T08:32:00,2023-03-14T11:00:00,,7442714159,eng,,africa-newsroom.com,,,,,,,,,,,,,,,,,,,,,,,,,
78,/Event/7442714159/7442744643/7446314520,7446314520,,,,2023-03-12T08:32:00,2023-03-14T12:00:00,,7442714159,eng,,amnesty.org,,,,,,,,,,,,,,,,,,,,,,,,,
79,/Event/7442714159/7442744643/7446352384,7446352384,,FR,C14,2023-03-12T08:32:00,2023-03-14T12:23:00,C2,7442714159,eng,,euronews.com,,EU,Fre,NATO,Christian,,,,,,,,,,,,,,,,,,,EU,
80,/Event/7442714159/7442744643/7446366032,7446366032,,IN,C18,2023-03-12T08:32:00,2023-03-14T12:35:00,C17,7442714159,eng,,ndtv.com,,AS,,,Hindu,,,,,,,,,,,,,,,,,,,,
81,/Event/7442714159/7442744643/7446407944,7446407944,,KE,C20,2023-03-12T08:32:00,2023-03-14T12:58:00,C17,7442714159,eng,Independent,the-star.co.ke,ChatGPT,AF,,,Christian,,,,,,,,,,,,,,,,,,,AfCFTA,AU
82,/Event/7442714159/7442744643/7446456900,7446456900,,,,2023-03-12T08:32:00,2023-03-14T13:25:00,,7442714159,eng,,sabcnews.com,,,,,,,,,,,,,,,,,,,,,,,,,
83,/Event/7442714159/7442744643/7446548885,7446548885,,,,2023-03-12T08:32:00,2023-03-14T14:20:00,,7442714159,eng,,newsonair.com,,,,,,,,,,,,,,,,,,,,,,,,,
