,path,name,con_name,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,continent,militarydefenseblocs,politicalregionalblocs,religions
106,/Event/7444355414/7445562916,7445562916,,,,2023-03-13T10:24:00,2023-03-14T02:22:00,,7444355414,rus,,altapress.ru,,,,,
107,/Event/7444355414/7445978674,7445978674,,,,2023-03-13T10:24:00,2023-03-14T08:36:00,,7444355414,rus,,rsport.ria.ru,,,,,
108,/Event/7444355414/7446005959,7446005959,,,,2023-03-13T10:24:00,2023-03-14T08:54:00,,7444355414,rus,,tass.ru,,,,,
109,/Event/7444355414/7446088122,7446088122,,,,2023-03-13T10:24:00,2023-03-14T09:46:00,,7444355414,rus,,realnoevremya.ru,,,,,
110,/Event/7444355414/7446091836,7446091836,,,,2023-03-13T10:24:00,2023-03-14T09:47:00,,7444355414,rus,,championat.com,,,,,
111,/Event/7444355414/7446115633,7446115633,,RU,C16,2023-03-13T10:24:00,2023-03-14T10:03:00,C12,7444355414,rus,,russian.rt.com,,AS,CSTO,CIS,Christian
112,/Event/7444355414/7446133702,7446133702,,,,2023-03-13T10:24:00,2023-03-14T10:14:00,,7444355414,rus,,golfstriminform.ru,,,,,
113,/Event/7444355414/7446166999,7446166999,,,,2023-03-13T10:24:00,2023-03-14T10:32:00,,7444355414,rus,,championat.com,,,,,
114,/Event/7444355414/7446187996,7446187996,,,,2023-03-13T10:24:00,2023-03-14T10:45:00,,7444355414,rus,,tass.ru,,,,,
115,/Event/7444355414/7446190666,7446190666,,RU,C16,2023-03-13T10:24:00,2023-03-14T10:46:00,C12,7444355414,rus,,russian.rt.com,,AS,CSTO,CIS,Christian
116,/Event/7444355414/7446197684,7446197684,,,,2023-03-13T10:24:00,2023-03-14T10:51:00,,7444355414,rus,,tass.ru,,,,,
117,/Event/7444355414/7446270170,7446270170,,,,2023-03-13T10:24:00,2023-03-14T11:33:00,,7444355414,rus,,khovar.tj,,,,,
118,/Event/7444355414/7446311166,7446311166,,,,2023-03-13T10:24:00,2023-03-14T11:59:00,,7444355414,rus,,fontanka.ru,,,,,
119,/Event/7444355414/7446378617,7446378617,,,,2023-03-13T10:24:00,2023-03-14T12:39:00,,7444355414,rus,,news.sportbox.ru,,,,,
120,/Event/7444355414/7446462584,7446462584,,,,2023-03-13T10:24:00,2023-03-14T13:28:00,,7444355414,rus,,fergana.agency,,,,,
121,/Event/7444355414/7446493885,7446493885,,RU,C16,2023-03-13T10:24:00,2023-03-14T13:47:00,C12,7444355414,rus,,russian.rt.com,,AS,CSTO,CIS,Christian
122,/Event/7444355414/7446497824,7446497824,,,,2023-03-13T10:24:00,2023-03-14T13:49:00,,7444355414,rus,,championat.com,,,,,
123,/Event/7444355414/7446740194,7446740194,,RU,C16,2023-03-13T10:24:00,2023-03-14T16:20:00,C12,7444355414,rus,,mk.ru,,AS,CSTO,CIS,Christian
124,/Event/7444355414/7448120833,7448120833,,RU,C16,2023-03-13T10:24:00,2023-03-15T11:40:00,C12,7444355414,rus,,russian.rt.com,,AS,CSTO,CIS,Christian
125,/Event/7444355414/7448612469,7448612469,,,,2023-03-13T10:24:00,2023-03-15T16:39:00,,7444355414,rus,,vz.ru,,,,,
126,/Event/7444355414/7448980358,7448980358,,RU,C16,2023-03-13T10:24:00,2023-03-15T21:22:00,C12,7444355414,rus,,sport-express.ru,,AS,CSTO,CIS,Christian
127,/Event/7444355414/7449703398,7449703398,,,,2023-03-13T10:24:00,2023-03-16T08:51:00,,7444355414,rus,,rsport.ria.ru,,,,,
128,/Event/7444355414/7449760334,7449760334,,RU,C16,2023-03-13T10:24:00,2023-03-16T09:25:00,C12,7444355414,rus,,russian.rt.com,,AS,CSTO,CIS,Christian
129,/Event/7444355414/7449762656,7449762656,,,,2023-03-13T10:24:00,2023-03-16T09:27:00,,7444355414,rus,,sportrbc.ru,,,,,
130,/Event/7444355414/7450021221,7450021221,,,,2023-03-13T10:24:00,2023-03-16T11:59:00,,7444355414,rus,,championat.com,,,,,
131,/Event/7444355414/7450409490,7450409490,,,,2023-03-13T10:24:00,2023-03-16T15:51:00,,7444355414,rus,,news.sportbox.ru,,,,,
