,path,name,con_name,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance,continent,linguisticblocs,militarydefenseblocs,religions,politicalregionalblocs,economicblocs
69,/Event/7440345427/7440451821/7441586185/7443517575,7443517575,India,,,2023-03-11T10:34:00,2023-03-12T21:04:00,,7440345427,eng,,news.yahoo.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,,
70,/Event/7440345427/7440451821/7441586185/7443567587,7443567587,India,,,2023-03-11T10:34:00,2023-03-12T22:06:00,,7440345427,eng,,hypebeast.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,,
71,/Event/7440345427/7440451821/7441586185/7443646934,7443646934,India,,,2023-03-11T10:34:00,2023-03-12T23:51:00,,7440345427,eng,,djournal.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,,
72,/Event/7440345427/7440451821/7441586185/7443756148,7443756148,India,IN,C18,2023-03-11T10:34:00,2023-03-13T02:02:00,C17,7440345427,eng,fiscally-conservative-socially-liberal,livemint.com,https:en.wikipedia.orgwikiMint_(newspaper),average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,AS,,,Hindu,,
73,/Event/7440345427/7440451821/7441586185/7443786298,7443786298,India,,,2023-03-11T10:34:00,2023-03-13T02:41:00,,7440345427,eng,,gazette.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,,
74,/Event/7440345427/7440451821/7441586185/7444257329,7444257329,India,,,2023-03-11T10:34:00,2023-03-13T09:22:00,,7440345427,eng,,ca.sports.yahoo.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,,
75,/Event/7440345427/7440451821/7441586185/7444423152,7444423152,India,USA,C4,2023-03-11T10:34:00,2023-03-13T11:04:00,C2,7440345427,eng,,arkansasonline.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,Eng,NATO,Christian,,NAFTA
76,/Event/7440345427/7440451821/7441586185/7444442785,7444442785,India,,,2023-03-11T10:34:00,2023-03-13T11:15:00,,7440345427,eng,,aithority.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,,
77,/Event/7440345427/7440451821/7441586185/7445024322,7445024322,India,,,2023-03-11T10:34:00,2023-03-13T17:24:00,,7440345427,eng,,bullfrag.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,,
78,/Event/7440345427/7440451821/7441586185/7445108758,7445108758,India,,,2023-03-11T10:34:00,2023-03-13T18:29:00,,7440345427,eng,,thehornnews.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,,
79,/Event/7440345427/7440451821/7441586185/7446543030,7446543030,India,,,2023-03-11T10:34:00,2023-03-14T14:17:00,,7440345427,eng,,tass.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,,
80,/Event/7440345427/7440451821/7441618468,7441618468,,,,2023-03-10T15:40:00,2023-03-11T11:05:00,,7440345427,eng,,todayheadline.co,,,,,,,,,,,,,,,,,,,,,,,,,
81,/Event/7440345427/7440451821/7441795533,7441795533,,USA,C4,2023-03-10T15:40:00,2023-03-11T13:41:00,C2,7440345427,eng,,orlandosentinel.com,,,,,,,,,,,,,,,,,,,,,Eng,NATO,Christian,,NAFTA
82,/Event/7440345427/7440451821/7441795533/7442445932,7442445932,United-States,,,2023-03-11T13:41:00,2023-03-12T02:31:00,,7440345427,eng,,nationalpost.com,,best,best,best,best,average,high,high,best,best,low,best,high,best,best,low,average,best,low,,,,,,
83,/Event/7440345427/7440451821/7441810673,7441810673,,UK,C4,2023-03-10T15:40:00,2023-03-11T13:55:00,C2,7440345427,eng,,businesstelegraph.co.uk,,,,,,,,,,,,,,,,,,,,EU,Eng,NATO,Christian,,
84,/Event/7440345427/7440451821/7441917729,7441917729,,,,2023-03-10T15:40:00,2023-03-11T15:35:00,,7440345427,eng,,rafu.com,,,,,,,,,,,,,,,,,,,,,,,,,
85,/Event/7440345427/7440451821/7441986590,7441986590,,,,2023-03-10T15:40:00,2023-03-11T16:41:00,,7440345427,eng,,digitaltrends.com,,,,,,,,,,,,,,,,,,,,,,,,,
86,/Event/7440345427/7440451821/7442203581,7442203581,,IN,C18,2023-03-10T15:40:00,2023-03-11T20:35:00,C17,7440345427,eng,Center-right,timesofindia.indiatimes.com,ChatGPT,,,,,,,,,,,,,,,,,,,AS,,,Hindu,,
87,/Event/7440345427/7440451821/7442203581/7442434007,7442434007,India,,,2023-03-11T20:35:00,2023-03-12T02:11:00,,7440345427,eng,,nationalpost.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,,
88,/Event/7440345427/7440451821/7442203581/7442461998,7442461998,India,USA,C4,2023-03-11T20:35:00,2023-03-12T02:56:00,C2,7440345427,eng,,dothaneagle.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,Eng,NATO,Christian,,NAFTA
89,/Event/7440345427/7440451821/7442213029,7442213029,,USA,C4,2023-03-10T15:40:00,2023-03-11T20:47:00,C2,7440345427,eng,,edition.cnn.com,,,,,,,,,,,,,,,,,,,,,Eng,NATO,Christian,,NAFTA
