source.uri,country,language,Political-Alignment,wiki-url,Cultural-Class,Economic-Class
opiniao.estadao.com.br,Brazil,Portuguese,Ecomicliberalism-Liberal-conservatism,https://en.wikipedia.org/wiki/O_Estado_de_S._Paulo,C14,C19
valor.globo.com,Brazil,Portuguese,Ecomic-liberalism,https://en.wikipedia.org/wiki/Valor_Econ%C3%B4mico,C14,C19
riotimesonline.com,Brazil,English,unknown,unknown,C14,C19
d24am.com,Brazil,Portuguese,unknown,unknown,C14,C19
economia.estadao.com.br,Brazil,Portuguese,unknown,unknown,C14,C19
epoca.globo.com,Brazil,Portuguese,unknown,unknown,C14,C19
jornaldocomercio.com,Brazil,Portuguese,unknown,unknown,C14,C19
adrenaline.uol.com.br,Brazil,unknown,unknown,unknown,C14,C19
agoramt.com.br,Brazil,unknown,unknown,unknown,C14,C19
alagoas24horas.com.br,Brazil,unknown,unknown,unknown,C14,C19
ariquemesonline.com.br,Brazil,unknown,unknown,unknown,C14,C19
atarde.uol.com.br,Brazil,unknown,unknown,unknown,C14,C19
claudia.abril.com.br,Brazil,unknown,unknown,unknown,C14,C19
cliquef5.com.br,Brazil,unknown,unknown,unknown,C14,C19
correiobraziliense.com.br,Brazil,unknown,unknown,unknown,C14,C19
correiocidadania.com.br,Brazil,unknown,unknown,unknown,C14,C19
coximagora.com.br,Brazil,unknown,unknown,unknown,C14,C19
defenseone.com,Brazil,unknown,unknown,unknown,C14,C19
douradosagora.com.br,Brazil,unknown,unknown,unknown,C14,C19
espn.uol.com.br,Brazil,unknown,unknown,unknown,C14,C19
esporte.band.uol.com.br,Brazil,unknown,unknown,unknown,C14,C19
esportes.estadao.com.br,Brazil,unknown,unknown,unknown,C14,C19
exame.abril.com.br,Brazil,unknown,unknown,unknown,C14,C19
folhavitoria.com.br,Brazil,unknown,unknown,unknown,C14,C19
idgnow.com.br,Brazil,unknown,unknown,unknown,C14,C19
internacional.estadao.com.br,Brazil,unknown,unknown,unknown,C14,C19
istoedinheiro.com.br,Brazil,unknown,unknown,unknown,C14,C19
jornalfloripa.com.br,Brazil,unknown,unknown,unknown,C14,C19
noticias.botucatu.com.br,Brazil,unknown,unknown,unknown,C14,C19
oglobo.globo.com,Brazil,unknown,unknown,unknown,C14,C19
opovo.com.br,Brazil,unknown,unknown,unknown,C14,C19
otempo.com.br,Brazil,unknown,unknown,unknown,C14,C19
paraibaonline.com.br,Brazil,unknown,unknown,unknown,C14,C19
radioagencianacional.ebc.com.br,Brazil,unknown,unknown,unknown,C14,C19
sitebarra.com.br,Brazil,unknown,unknown,unknown,C14,C19
sportv.globo.com,Brazil,unknown,unknown,unknown,C14,C19
tecnologia.uol.com.br,Brazil,unknown,unknown,unknown,C14,C19
terceirotempo.bol.uol.com.br,Brazil,unknown,unknown,unknown,C14,C19
tvefamosos.uol.com.br,Brazil,unknown,unknown,unknown,C14,C19
universa.uol.com.br,Brazil,unknown,unknown,unknown,C14,C19
veja.abril.com.br,Brazil,unknown,unknown,unknown,C14,C19
zh.clicrbs.com.br,Brazil,unknown,unknown,unknown,C14,C19
